1785734393089,bot0,spawn
1785734393385,bot1,spawn
1785734393726,bot2,spawn
1785734394133,bot0,rtt,44
1785734394243,bot3,spawn
1785734394436,bot1,rtt,51
1785734394738,bot4,spawn
1785734394782,bot2,rtt,51
1785734395132,bot0,rtt,42
1785734395296,bot3,rtt,52
1785734395304,bot5,spawn
1785734395436,bot1,rtt,51
1785734395828,bot2,rtt,77
1785734395834,bot4,rtt,83
1785734395856,bot6,spawn
1785734396162,bot0,rtt,64
1785734396297,bot3,rtt,52
1785734396304,bot7,spawn
1785734396346,bot5,rtt,42
1785734396442,bot1,rtt,46
1785734396814,bot2,rtt,60
1785734396815,bot4,rtt,60
1785734396910,bot8,spawn
1785734396957,bot6,rtt,91
1785734397155,bot0,rtt,44
1785734397372,bot3,rtt,100
1785734397419,bot5,rtt,85
1785734397428,bot7,rtt,94
1785734397497,bot9,spawn
1785734397550,bot1,rtt,112
1785734397837,bot2,rtt,73
1785734397842,bot4,rtt,78
1785734397963,bot8,rtt,52
1785734397979,bot6,rtt,68
1785734398239,bot0,rtt,73
1785734398468,bot7,rtt,72
1785734398488,bot5,rtt,92
1785734398587,bot3,rtt,191
1785734398682,bot9,rtt,77
1785734398890,bot1,rtt,286
1785734398989,bot2,rtt,47
1785734399059,bot4,rtt,116
1785734399068,bot6,rtt,125
1785734399117,bot8,rtt,174
1785734399525,bot0,rtt,218
1785734399596,bot5,rtt,71
1785734399730,bot3,rtt,205
1785734399820,bot7,rtt,295
1785734399889,bot9,rtt,128
1785734399956,bot1,rtt,195
1785734400138,bot4,rtt,120
1785734400157,bot6,rtt,139
1785734400198,bot8,rtt,180
1785734400271,bot2,rtt,253
1785734400634,bot0,rtt,182
1785734400691,bot5,rtt,62
1785734400750,bot3,rtt,122
1785734400824,bot7,rtt,195
1785734400866,bot9,rtt,69
1785734400898,bot1,rtt,101
1785734401137,bot2,rtt,53
1785734401192,bot4,rtt,108
1785734401199,bot6,rtt,115
1785734401211,bot8,rtt,127
1785734401495,bot0,rtt,42
1785734401685,bot7,rtt,50
1785734401701,bot5,rtt,66
1785734401702,bot3,rtt,67
1785734401844,bot1,rtt,44
1785734401845,bot9,rtt,45
1785734402136,bot6,rtt,49
1785734402136,bot8,rtt,49
1785734402137,bot2,rtt,50
1785734402137,bot4,rtt,50
1785734402496,bot0,rtt,43
1785734402684,bot5,rtt,48
1785734402684,bot7,rtt,49
1785734402685,bot3,rtt,51
1785734402842,bot1,rtt,42
1785734402845,bot9,rtt,44
1785734403130,bot2,rtt,42
1785734403131,bot4,rtt,43
1785734403131,bot6,rtt,43
1785734403132,bot8,rtt,44
1785734403494,bot0,rtt,41
1785734403676,bot3,rtt,42
1785734403678,bot5,rtt,42
1785734403678,bot7,rtt,42
1785734403843,bot1,rtt,42
1785734403844,bot9,rtt,43
1785734404129,bot2,rtt,42
1785734404130,bot4,rtt,41
1785734404131,bot6,rtt,41
1785734404131,bot8,rtt,42
1785734404494,bot0,rtt,41
1785734404676,bot3,rtt,42
1785734404678,bot5,rtt,41
1785734404679,bot7,rtt,43
1785734404843,bot1,rtt,41
1785734404844,bot9,rtt,42
1785734405129,bot2,rtt,42
1785734405130,bot8,rtt,41
1785734405131,bot4,rtt,42
1785734405131,bot6,rtt,42
1785734405494,bot0,rtt,41
1785734405677,bot3,rtt,42
1785734405677,bot5,rtt,41
1785734405677,bot7,rtt,41
1785734405844,bot1,rtt,41
1785734405845,bot9,rtt,42
1785734406130,bot2,rtt,42
1785734406131,bot4,rtt,43
1785734406132,bot6,rtt,43
1785734406132,bot8,rtt,43
1785734406495,bot0,rtt,41
1785734406676,bot3,rtt,42
1785734406678,bot5,rtt,42
1785734406678,bot7,rtt,42
1785734406844,bot1,rtt,42
1785734406847,bot9,rtt,43
1785734407130,bot2,rtt,42
1785734407130,bot4,rtt,42
1785734407131,bot6,rtt,42
1785734407131,bot8,rtt,42
1785734407299,bot2,respawn
1785734407496,bot0,rtt,42
1785734407675,bot3,rtt,41
1785734407678,bot5,rtt,41
1785734407678,bot7,rtt,41
1785734407844,bot1,rtt,42
1785734407847,bot9,rtt,43
1785734408129,bot4,rtt,41
1785734408130,bot2,rtt,42
1785734408131,bot6,rtt,41
1785734408131,bot8,rtt,41
1785734408496,bot0,rtt,42
1785734408675,bot3,rtt,41
1785734408679,bot5,rtt,42
1785734408679,bot7,rtt,42
1785734408845,bot1,rtt,43
1785734408845,bot9,rtt,41
1785734409130,bot2,rtt,43
1785734409133,bot4,rtt,45
1785734409133,bot6,rtt,43
1785734409134,bot8,rtt,43
1785734409496,bot0,rtt,42
1785734409676,bot3,rtt,41
1785734409679,bot5,rtt,41
1785734409679,bot7,rtt,41
1785734409845,bot1,rtt,42
1785734409846,bot9,rtt,42
1785734410130,bot2,rtt,43
1785734410131,bot4,rtt,42
1785734410132,bot6,rtt,41
1785734410133,bot8,rtt,42
1785734410496,bot0,rtt,42
1785734410676,bot3,rtt,42
