1785734029431,bot0,spawn
1785734030505,bot0,rtt,73
1785734031477,bot0,rtt,45
1785734032482,bot0,rtt,50
1785734033477,bot0,rtt,43
1785734034477,bot0,rtt,43
1785734035478,bot0,rtt,43
1785734036477,bot0,rtt,42
1785734037478,bot0,rtt,42
1785734038478,bot0,rtt,42
1785734039478,bot0,rtt,42
1785734040496,bot0,rtt,60
1785734041479,bot0,rtt,42
1785734042479,bot0,rtt,43
1785734043479,bot0,rtt,43
1785734044479,bot0,rtt,43
1785734045479,bot0,rtt,42
1785734046478,bot0,rtt,42
1785734047479,bot0,rtt,42
1785734048479,bot0,rtt,43
1785734049478,bot0,rtt,42
1785734050479,bot0,rtt,42
1785734051479,bot0,rtt,42
1785734052480,bot0,rtt,42
1785734053481,bot0,rtt,42
1785734054481,bot0,rtt,42
1785734055482,bot0,rtt,42
1785734056481,bot0,rtt,42
1785734057481,bot0,rtt,42
1785734058481,bot0,rtt,42
1785734059482,bot0,rtt,42
1785734060482,bot0,rtt,42
1785734061482,bot0,rtt,42
1785734062482,bot0,rtt,42
1785734063482,bot0,rtt,42
1785734064482,bot0,rtt,42
1785734065117,bot0,respawn
1785734065482,bot0,rtt,42
1785734066482,bot0,rtt,42
1785734067483,bot0,rtt,42
1785734068482,bot0,rtt,42
1785734069483,bot0,rtt,43
1785734070484,bot0,rtt,44
1785734071482,bot0,rtt,42
1785734072482,bot0,rtt,42
1785734073483,bot0,rtt,43
1785734074483,bot0,rtt,42
1785734075483,bot0,rtt,43
1785734076483,bot0,rtt,42
1785734077484,bot0,rtt,42
1785734077699,bot0,respawn
1785734078484,bot0,rtt,43
1785734079483,bot0,rtt,41
1785734080483,bot0,rtt,41
1785734081484,bot0,rtt,42
1785734082485,bot0,rtt,42
1785734083485,bot0,rtt,42
1785734084486,bot0,rtt,42
1785734085486,bot0,rtt,42
1785734086487,bot0,rtt,42
1785734087488,bot0,rtt,43
1785734088488,bot0,rtt,43
1785734089487,bot0,rtt,42
1785734090487,bot0,rtt,42
1785734091487,bot0,rtt,42
1785734092487,bot0,rtt,42
1785734093487,bot0,rtt,42
1785734094487,bot0,rtt,42
1785734095487,bot0,rtt,42
1785734096487,bot0,rtt,42
1785734097487,bot0,rtt,42
1785734098487,bot0,rtt,42
1785734099487,bot0,rtt,42
1785734100488,bot0,rtt,43
1785734101488,bot0,rtt,42
1785734102488,bot0,rtt,42
1785734103489,bot0,rtt,42
1785734104489,bot0,rtt,43
1785734105489,bot0,rtt,43
1785734106488,bot0,rtt,42
1785734107489,bot0,rtt,42
1785734108490,bot0,rtt,42
1785734109491,bot0,rtt,43
1785734110490,bot0,rtt,42
1785734111490,bot0,rtt,42
1785734112491,bot0,rtt,42
1785734113492,bot0,rtt,42
1785734114491,bot0,rtt,42
1785734115492,bot0,rtt,42
1785734116493,bot0,rtt,42
1785734117493,bot0,rtt,42
1785734118493,bot0,rtt,42
1785734119493,bot0,rtt,42
1785734120494,bot0,rtt,42
1785734121493,bot0,rtt,42
1785734122493,bot0,rtt,42
1785734123493,bot0,rtt,42
1785734124494,bot0,rtt,42
1785734125495,bot0,rtt,42
1785734126494,bot0,rtt,42
1785734127494,bot0,rtt,42
1785734128495,bot0,rtt,42
1785734129495,bot0,rtt,42
1785734130496,bot0,rtt,43
1785734131496,bot0,rtt,42
1785734132496,bot0,rtt,41
1785734133496,bot0,rtt,42
1785734134496,bot0,rtt,42
1785734135350,bot0,respawn
1785734135496,bot0,rtt,42
1785734136497,bot0,rtt,42
1785734137497,bot0,rtt,42
1785734138497,bot0,rtt,42
1785734139497,bot0,rtt,42
1785734140497,bot0,rtt,42
1785734141497,bot0,rtt,42
1785734142497,bot0,rtt,42
1785734143497,bot0,rtt,42
1785734144498,bot0,rtt,42
1785734145498,bot0,rtt,42
1785734146497,bot0,rtt,42
1785734147498,bot0,rtt,42
1785734148497,bot0,rtt,41
1785734149497,bot0,rtt,41
1785734150497,bot0,rtt,42
1785734151496,bot0,rtt,41
1785734152497,bot0,rtt,42
1785734153497,bot0,rtt,42
1785734154497,bot0,rtt,42
1785734155497,bot0,rtt,42
1785734156497,bot0,rtt,42
1785734157497,bot0,rtt,42
