epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785734008699,0,2.11,1.889GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.2/0.1/0.4; 0.2/0.1/0.5; 0.2/0.1/1.0","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734014986,0,1.99,1.89GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.2/0.1/0.6; 0.2/0.1/0.6; 0.2/0.1/1.0","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734021249,0,1.82,1.89GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.2/0.1/0.5; 0.2/0.1/0.6; 0.2/0.1/1.0","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734027507,0,1.78,1.89GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.2/0.1/0.7; 0.2/0.1/0.7; 0.2/0.1/1.0","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734033771,1,287.60,1.933GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 17.4/4.2/257.6; 10.6/0.1/278.6; 2.0/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734040111,1,50.09,1.946GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.4/4.5/29.3; 14.2/4.5/257.6; 3.1/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734046528,1,19.99,1.995GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.1/3.1/12.7; 6.3/3.1/19.2; 3.6/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734052802,1,32.82,1.996GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.7/2.8/13.7; 4.9/2.8/13.7; 4.1/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734059082,1,24.58,1.997GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.7/2.3/13.1; 4.2/2.3/18.1; 4.5/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734065368,1,48.91,1.997GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.6/2.2/10.0; 3.6/2.2/13.1; 4.9/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734071633,1,42.74,1.999GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.7/2.6/16.6; 4.3/2.2/16.6; 5.3/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734077913,1,35.80,2.001GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.9/2.4/13.0; 4.3/2.4/16.6; 5.7/0.1/278.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
