1785734770506,bot0,spawn
1785734770698,bot1,spawn
1785734771028,bot2,spawn
1785734771545,bot3,spawn
1785734771552,bot0,rtt,45
1785734771742,bot1,rtt,44
1785734772032,bot4,spawn
1785734772076,bot2,rtt,44
1785734772554,bot0,rtt,47
1785734772604,bot3,rtt,57
1785734772614,bot5,spawn
1785734772747,bot1,rtt,45
1785734773093,bot4,rtt,49
1785734773095,bot2,rtt,51
1785734773100,bot6,spawn
1785734773553,bot7,spawn
1785734773598,bot0,rtt,80
1785734773642,bot3,rtt,90
1785734773661,bot5,rtt,46
1785734773754,bot1,rtt,52
1785734774108,bot4,rtt,64
1785734774119,bot2,rtt,75
1785734774185,bot6,rtt,54
1785734774195,bot8,spawn
1785734774610,bot0,rtt,81
1785734774640,bot3,rtt,56
1785734774644,bot7,rtt,59
1785734774692,bot5,rtt,58
1785734774804,bot1,rtt,56
1785734774810,bot9,spawn
1785734775212,bot2,rtt,141
1785734775243,bot4,rtt,172
1785734775369,bot6,rtt,205
1785734775396,bot8,rtt,137
1785734775682,bot0,rtt,87
1785734775938,bot5,rtt,87
1785734775969,bot7,rtt,118
1785734776072,bot1,rtt,221
1785734776114,bot9,rtt,263
1785734776314,bot10,spawn
1785734776364,bot3,rtt,514
1785734776623,bot2,rtt,262
1785734776789,bot4,rtt,428
1785734776855,bot6,rtt,494
1785734776951,bot8,rtt,590
1785734777215,bot3,rtt,95
1785734777294,bot5,rtt,174
1785734777378,bot7,rtt,258
1785734777450,bot0,rtt,330
1785734777602,bot1,rtt,482
1785734777703,bot9,rtt,583
1785734778357,bot3,rtt,120
1785734778470,bot5,rtt,233
1785734778636,bot7,rtt,399
1785734778686,bot0,rtt,449
1785734778793,bot2,rtt,556
1785734778820,bot1,rtt,583
1785734778884,bot9,rtt,647
1785734779000,bot4,rtt,763
1785734779117,bot6,rtt,880
1785734779230,bot8,rtt,993
1785734779361,bot10,rtt,1125
1785734779667,bot5,rtt,154
1785734779772,bot7,rtt,259
1785734779806,bot0,rtt,293
1785734779811,bot2,rtt,298
1785734779814,bot1,rtt,301
1785734779877,bot9,rtt,364
1785734779918,bot4,rtt,405
1785734779964,bot6,rtt,451
1785734780031,bot8,rtt,518
1785734780101,bot10,rtt,588
1785734780280,bot3,rtt,767
1785734780614,bot4,rtt,51
1785734780616,bot6,rtt,53
1785734780631,bot8,rtt,68
1785734780639,bot11,spawn
1785734780669,bot3,rtt,106
1785734780670,bot5,rtt,107
1785734780671,bot7,rtt,108
1785734780676,bot0,rtt,113
1785734780679,bot2,rtt,116
1785734780680,bot1,rtt,117
1785734780681,bot9,rtt,118
1785734780717,bot10,rtt,154
1785734780938,bot12,spawn
1785734781035,bot13,spawn
1785734781154,bot14,spawn
1785734781251,bot15,spawn
1785734781256,bot16,spawn
1785734781259,bot17,spawn
1785734781370,bot18,spawn
1785734781379,bot19,spawn
1785734781497,bot21,spawn
1785734781501,bot20,spawn
1785734781738,bot8,rtt,68
1785734781759,bot11,rtt,89
1785734781784,bot10,rtt,115
1785734782031,bot3,rtt,361
1785734782034,bot5,rtt,364
1785734782043,bot7,rtt,373
1785734782047,bot0,rtt,377
1785734782054,bot2,rtt,384
1785734782057,bot1,rtt,387
1785734782066,bot9,rtt,396
1785734782074,bot4,rtt,404
1785734782084,bot6,rtt,414
1785734782267,bot12,rtt,238
1785734782683,bot22,spawn
1785734782788,bot3,rtt,50
1785734782795,bot5,rtt,56
1785734782800,bot7,rtt,62
1785734782807,bot0,rtt,69
1785734782812,bot2,rtt,74
1785734782818,bot1,rtt,79
1785734782822,bot9,rtt,83
1785734782827,bot4,rtt,89
1785734782832,bot6,rtt,94
1785734782838,bot8,rtt,100
1785734782916,bot11,rtt,177
1785734782996,bot10,rtt,258
1785734783209,bot17,rtt,471
1785734783327,bot14,rtt,589
1785734783445,bot21,rtt,707
1785734783546,bot20,rtt,808
1785734783709,bot19,rtt,971
1785734784091,bot4,rtt,57
1785734784097,bot6,rtt,63
1785734784106,bot8,rtt,71
1785734784250,bot11,rtt,215
1785734784277,bot10,rtt,243
1785734784305,bot13,rtt,1567
1785734784463,bot13,rtt,429
1785734784695,bot15,rtt,1957
1785734784744,bot16,rtt,2006
1785734784888,bot17,rtt,854
1785734785105,bot14,rtt,1071
1785734785239,bot18,rtt,2501
1785734785385,bot18,rtt,1351
1785734785609,bot21,rtt,1575
1785734785851,bot20,rtt,1817
1785734786099,bot19,rtt,2065
1785734786450,bot22,rtt,2416
1785734786764,bot3,rtt,2730
1785734786776,bot5,rtt,2741
1785734786789,bot7,rtt,2755
1785734786803,bot0,rtt,2769
1785734786818,bot2,rtt,2784
1785734786833,bot2,rtt,71
1785734786834,bot1,rtt,2799
1785734786842,bot1,rtt,80
1785734786843,bot9,rtt,2808
1785734786852,bot9,rtt,90
1785734786863,bot4,rtt,101
1785734786872,bot6,rtt,110
1785734786882,bot8,rtt,120
1785734787143,bot11,rtt,380
1785734787193,bot10,rtt,431
1785734787401,bot13,rtt,639
1785734787617,bot15,rtt,3583
1785734787875,bot15,rtt,1113
1785734788289,bot17,rtt,1527
1785734788597,bot14,rtt,1835
1785734788860,bot18,rtt,2098
1785734789123,bot21,rtt,2361
1785734789378,bot20,rtt,2616
1785734789673,bot19,rtt,2911
1785734789853,bot22,rtt,3091
1785734790079,bot23,spawn
1785734790158,bot3,rtt,3396
1785734790175,bot5,rtt,3413
1785734790190,bot7,rtt,3428
1785734790201,bot0,rtt,3439
1785734790213,bot0,rtt,57
1785734790225,bot2,rtt,69
1785734790235,bot1,rtt,79
1785734790247,bot9,rtt,90
1785734790260,bot4,rtt,104
1785734790272,bot6,rtt,116
1785734790285,bot8,rtt,129
1785734790309,bot11,rtt,152
1785734790320,bot10,rtt,164
1785734790376,bot13,rtt,220
1785734790400,bot12,rtt,6367
1785734790462,bot15,rtt,306
1785734790535,bot16,rtt,6501
1785734790663,bot17,rtt,507
1785734790669,bot14,rtt,513
1785734790676,bot18,rtt,520
1785734790680,bot21,rtt,524
1785734790684,bot20,rtt,528
1785734790687,bot19,rtt,531
1785734790691,bot22,rtt,535
1785734790751,bot3,rtt,595
1785734790756,bot5,rtt,600
1785734790760,bot7,rtt,604
1785734791274,bot16,rtt,4512
1785734791515,bot16,rtt,1359
1785734791561,bot23,rtt,429
1785734791669,bot7,rtt,46
1785734791674,bot0,rtt,51
1785734791677,bot2,rtt,54
1785734791681,bot1,rtt,58
1785734791685,bot9,rtt,62
1785734791690,bot4,rtt,68
1785734791695,bot6,rtt,72
1785734791699,bot8,rtt,76
1785734791702,bot11,rtt,79
1785734791706,bot10,rtt,84
1785734791711,bot13,rtt,89
1785734791811,bot15,rtt,189
1785734791816,bot16,rtt,194
1785734791819,bot17,rtt,197
1785734791822,bot14,rtt,200
1785734791825,bot18,rtt,203
1785734791827,bot21,rtt,205
1785734791830,bot20,rtt,208
1785734791832,bot19,rtt,210
1785734791834,bot22,rtt,212
1785734791902,bot3,rtt,279
1785734791905,bot5,rtt,282
1785734791933,bot12,rtt,5172
1785734792075,bot24,spawn
1785734792188,bot12,rtt,2033
1785734792195,bot12,rtt,573
1785734792327,bot26,spawn
1785734792332,bot25,spawn
1785734792445,bot23,rtt,166
1785734792495,bot27,spawn
1785734792499,bot28,spawn
1785734792626,bot29,spawn
1785734792770,bot3,rtt,112
1785734792772,bot5,rtt,114
1785734792774,bot7,rtt,116
1785734792775,bot0,rtt,118
1785734792777,bot2,rtt,120
1785734792779,bot1,rtt,121
1785734792780,bot9,rtt,122
1785734792794,bot4,rtt,137
1785734792796,bot6,rtt,139
1785734792797,bot8,rtt,140
1785734792799,bot11,rtt,141
1785734792800,bot10,rtt,143
1785734792802,bot13,rtt,145
1785734792803,bot12,rtt,146
1785734792804,bot15,rtt,147
1785734792805,bot16,rtt,148
1785734792806,bot17,rtt,149
1785734792807,bot14,rtt,150
1785734792809,bot18,rtt,152
1785734792810,bot21,rtt,153
1785734792811,bot20,rtt,154
1785734792812,bot19,rtt,155
1785734792823,bot22,rtt,166
1785734793261,bot24,rtt,97
1785734793554,bot23,rtt,86
1785734793617,bot26,rtt,149
1785734793648,bot25,rtt,180
1785734793954,bot27,rtt,185
1785734793999,bot29,rtt,230
1785734794015,bot28,rtt,246
1785734794120,bot3,rtt,350
1785734794124,bot5,rtt,354
1785734794127,bot7,rtt,357
1785734794129,bot0,rtt,359
1785734794133,bot2,rtt,364
1785734794137,bot1,rtt,367
1785734794140,bot9,rtt,370
1785734794146,bot4,rtt,377
1785734794149,bot6,rtt,379
1785734794153,bot8,rtt,383
1785734794157,bot11,rtt,387
1785734794160,bot10,rtt,391
1785734794164,bot13,rtt,395
1785734794167,bot12,rtt,398
1785734794170,bot15,rtt,401
1785734794174,bot16,rtt,405
1785734794178,bot17,rtt,409
1785734794183,bot14,rtt,414
1785734794188,bot18,rtt,419
1785734794192,bot21,rtt,423
1785734794197,bot20,rtt,428
1785734794204,bot19,rtt,435
1785734794209,bot22,rtt,440
1785734794957,bot0,rtt,71
1785734794964,bot2,rtt,78
1785734794970,bot1,rtt,84
1785734794975,bot9,rtt,89
1785734794981,bot4,rtt,95
1785734794990,bot6,rtt,104
1785734795000,bot8,rtt,114
1785734795007,bot11,rtt,121
1785734795013,bot10,rtt,127
1785734795018,bot13,rtt,133
1785734795024,bot12,rtt,139
1785734795030,bot15,rtt,145
1785734795036,bot16,rtt,151
1785734795040,bot17,rtt,154
1785734795044,bot14,rtt,159
1785734795051,bot18,rtt,165
1785734795055,bot21,rtt,169
1785734795060,bot20,rtt,174
1785734795065,bot19,rtt,179
1785734795069,bot22,rtt,184
1785734795145,bot23,rtt,260
1785734795251,bot24,rtt,366
1785734795357,bot26,rtt,472
1785734795475,bot25,rtt,590
1785734795588,bot27,rtt,703
1785734795703,bot29,rtt,818
1785734795819,bot28,rtt,934
1785734796000,bot3,rtt,1114
1785734796007,bot5,rtt,1121
1785734796016,bot7,rtt,1130
1785734796051,bot8,rtt,53
