1785732881359,bot0,spawn
1785732882369,bot0,rtt,10
1785732883367,bot0,rtt,8
1785732884420,bot0,rtt,60
1785732885366,bot0,rtt,7
1785732886367,bot0,rtt,7
1785732887371,bot0,rtt,11
1785732888367,bot0,rtt,7
1785732889367,bot0,rtt,7
1785732890367,bot0,rtt,7
1785732891370,bot0,rtt,10
1785732892366,bot0,rtt,6
1785732893367,bot0,rtt,7
1785732894367,bot0,rtt,7
1785732895367,bot0,rtt,7
1785732896367,bot0,rtt,6
1785732897367,bot0,rtt,6
1785732898367,bot0,rtt,7
1785732899369,bot0,rtt,8
1785732900368,bot0,rtt,7
1785732901368,bot0,rtt,7
1785732902368,bot0,rtt,7
1785732903368,bot0,rtt,7
1785732904368,bot0,rtt,6
1785732905368,bot0,rtt,6
1785732906368,bot0,rtt,6
1785732907369,bot0,rtt,6
1785732908373,bot0,rtt,9
1785732909371,bot0,rtt,6
1785732910371,bot0,rtt,7
1785732911371,bot0,rtt,7
1785732912371,bot0,rtt,7
1785732913370,bot0,rtt,6
1785732914370,bot0,rtt,6
1785732915370,bot0,rtt,6
1785732916370,bot0,rtt,6
1785732917371,bot0,rtt,7
1785732918371,bot0,rtt,7
1785732919371,bot0,rtt,6
1785732920374,bot0,rtt,9
1785732921372,bot0,rtt,6
1785732922373,bot0,rtt,8
1785732923373,bot0,rtt,7
1785732924373,bot0,rtt,7
1785732925373,bot0,rtt,7
1785732926373,bot0,rtt,7
1785732927427,bot0,rtt,60
1785732928374,bot0,rtt,7
1785732929374,bot0,rtt,6
1785732930374,bot0,rtt,7
1785732931374,bot0,rtt,7
1785732932374,bot0,rtt,6
1785732933374,bot0,rtt,6
1785732934055,bot0,respawn
1785732934374,bot0,rtt,6
1785732935374,bot0,rtt,6
1785732936375,bot0,rtt,7
1785732937448,bot0,rtt,79
1785732938375,bot0,rtt,7
1785732939375,bot0,rtt,7
1785732940375,bot0,rtt,7
1785732941376,bot0,rtt,7
1785732942375,bot0,rtt,6
1785732943376,bot0,rtt,7
1785732944376,bot0,rtt,6
1785732945377,bot0,rtt,6
1785732946378,bot0,rtt,6
1785732947377,bot0,rtt,6
1785732948378,bot0,rtt,6
1785732949379,bot0,rtt,6
1785732950378,bot0,rtt,6
1785732951426,bot0,rtt,54
1785732952379,bot0,rtt,6
1785732953380,bot0,rtt,7
1785732954380,bot0,rtt,7
1785732955380,bot0,rtt,7
1785732956380,bot0,rtt,7
1785732957380,bot0,rtt,7
1785732958380,bot0,rtt,7
1785732959379,bot0,rtt,6
1785732960383,bot0,rtt,10
1785732961380,bot0,rtt,6
1785732962225,bot0,respawn
1785732962379,bot0,rtt,6
1785732963380,bot0,rtt,7
1785732964380,bot0,rtt,6
1785732965381,bot0,rtt,6
1785732966380,bot0,rtt,6
1785732967382,bot0,rtt,7
1785732968382,bot0,rtt,6
1785732969382,bot0,rtt,7
1785732970382,bot0,rtt,6
1785732971383,bot0,rtt,6
1785732972385,bot0,rtt,7
1785732973384,bot0,rtt,6
1785732974385,bot0,rtt,6
1785732975386,bot0,rtt,7
1785732976388,bot0,rtt,8
1785732977386,bot0,rtt,6
1785732978386,bot0,rtt,7
1785732979392,bot0,rtt,12
1785732979449,bot0,respawn
1785732980387,bot0,rtt,7
1785732981388,bot0,rtt,7
1785732982387,bot0,rtt,7
1785732983388,bot0,rtt,7
1785732984388,bot0,rtt,7
1785732985388,bot0,rtt,7
1785732986388,bot0,rtt,7
1785732987387,bot0,rtt,6
1785732988387,bot0,rtt,6
1785732989387,bot0,rtt,6
1785732990388,bot0,rtt,6
1785732991388,bot0,rtt,6
1785732992388,bot0,rtt,6
1785732993395,bot0,rtt,13
1785732994388,bot0,rtt,6
1785732995393,bot0,rtt,11
1785732996389,bot0,rtt,6
1785732997388,bot0,rtt,6
1785732998388,bot0,rtt,6
1785732999389,bot0,rtt,7
1785733000389,bot0,rtt,6
1785733001389,bot0,rtt,6
1785733002388,bot0,rtt,6
1785733003393,bot0,rtt,11
1785733004393,bot0,rtt,10
1785733005393,bot0,rtt,10
1785733006392,bot0,rtt,9
1785733007394,bot0,rtt,10
1785733007755,bot0,respawn
1785733008393,bot0,rtt,10
1785733009390,bot0,rtt,7
1785733010406,bot0,rtt,22
