1785733624799,bot0,spawn
1785733624902,bot1,spawn
1785733625368,bot2,spawn
1785733625844,bot0,rtt,45
1785733625865,bot3,spawn
1785733625936,bot1,rtt,33
1785733626429,bot2,rtt,61
1785733626851,bot0,rtt,52
1785733626861,bot4,spawn
1785733626937,bot1,rtt,35
1785733626951,bot3,rtt,81
1785733627636,bot5,spawn
1785733627676,bot2,rtt,293
1785733628257,bot0,rtt,458
1785733628267,bot4,rtt,389
1785733628271,bot1,rtt,369
1785733628274,bot3,rtt,396
1785733628750,bot5,rtt,86
1785733628853,bot2,rtt,470
1785733629080,bot0,rtt,280
1785733629128,bot1,rtt,226
1785733629143,bot3,rtt,265
1785733629284,bot4,rtt,406
1785733629553,bot2,rtt,170
1785733629789,bot6,spawn
1785733629881,bot5,rtt,204
1785733629893,bot0,rtt,66
1785733630074,bot1,rtt,172
1785733630091,bot3,rtt,199
1785733630110,bot7,spawn
1785733630167,bot4,rtt,275
1785733630807,bot2,rtt,356
1785733630827,bot6,rtt,15
1785733630834,bot0,rtt,7
1785733630872,bot5,rtt,188
1785733631439,bot4,rtt,547
1785733631507,bot1,rtt,604
1785733631549,bot3,rtt,657
1785733631603,bot7,rtt,493
1785733631874,bot0,rtt,47
1785733631915,bot2,rtt,442
1785733631974,bot4,rtt,54
1785733631986,bot6,rtt,174
1785733631987,bot8,spawn
1785733632034,bot1,rtt,114
1785733632079,bot3,rtt,159
1785733632087,bot5,rtt,403
1785733632740,bot9,spawn
1785733632764,bot7,rtt,654
1785733632911,bot2,rtt,361
1785733632937,bot0,rtt,47
1785733632976,bot6,rtt,86
1785733633009,bot4,rtt,75
1785733633025,bot8,rtt,19
1785733633107,bot3,rtt,173
1785733633169,bot5,rtt,410
1785733633269,bot1,rtt,335
1785733633549,bot7,rtt,282
1785733633878,bot2,rtt,178
1785733634000,bot5,rtt,241
1785733634057,bot9,rtt,317
1785733634284,bot4,rtt,217
1785733634325,bot6,rtt,258
1785733634398,bot8,rtt,331
1785733634399,bot10,spawn
1785733634412,bot0,rtt,345
1785733634414,bot1,rtt,347
1785733634415,bot3,rtt,348
1785733634777,bot7,rtt,366
1785733635052,bot2,rtt,232
1785733635188,bot5,rtt,368
1785733635282,bot9,rtt,462
1785733635292,bot3,rtt,151
1785733635292,bot11,spawn
1785733635293,bot1,rtt,152
1785733635293,bot0,rtt,152
1785733635294,bot4,rtt,153
1785733635294,bot6,rtt,153
1785733635294,bot8,rtt,153
1785733635718,bot10,rtt,319
1785733635830,bot7,rtt,418
1785733636126,bot5,rtt,225
1785733636232,bot9,rtt,331
1785733636271,bot2,rtt,370
1785733636403,bot12,spawn
1785733636437,bot1,rtt,194
1785733636438,bot3,rtt,196
1785733636474,bot7,rtt,41
