epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785733604668,0,1.92,1.314GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/3.2; 0.6/0.3/3.2; 14.0/0.3/684.2","TPS from last 1m; 5m; 15m: 20.0; 19.13; 19.65"
1785733610954,0,1.81,1.314GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.2; 0.5/0.3/3.2; 11.1/0.3/684.2","TPS from last 1m; 5m; 15m: 20.0; 19.13; 19.65"
1785733617243,0,1.86,1.314GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.6/0.3/3.1; 0.5/0.3/3.1; 9.2/0.3/684.2","TPS from last 1m; 5m; 15m: 20.0; 19.13; 19.65"
1785733623522,0,3.34,1.314GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.7/0.5/1.1; 0.6/0.3/1.1; 5.4/0.3/684.2","TPS from last 1m; 5m; 15m: 20.0; 19.13; 19.65"
1785733629814,8,50.07,1.315GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 36.8/0.4/273.4; 18.7/0.4/273.4; 5.9/0.3/684.2","TPS from last 1m; 5m; 15m: 19.5; 19.04; 19.61"
1785733639498,21,50.05,1.32GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 143.3/0.5/1033.1; 72.0/0.4/1033.1; 14.5/0.3/1033.1","TPS from last 1m; 5m; 15m: 17.68; 18.66; 19.48"
1785733657068,30,51.15,1.355GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 230.8/2.6/1232.5; 116.4/0.4/1232.5; 21.6/0.3/1232.5","TPS from last 1m; 5m; 15m: 13.79; 17.63; 19.08"
1785733664120,30,49.82,1.351GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 189.6/16.6/1232.5; 149.1/0.5/1232.5; 25.6/0.3/1232.5","TPS from last 1m; 5m; 15m: 13.31; 17.51; 19.02"
1785733671302,30,50.19,1.36GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 83.2/16.2/210.2; 162.8/16.2/1232.5; 31.0/0.3/1232.5","TPS from last 1m; 5m; 15m: 12.88; 17.39; 18.96"
1785733678213,30,43.37,1.367GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 31.0/6.3/86.3; 43.2/6.3/182.6; 35.4/0.3/1232.5","TPS from last 1m; 5m; 15m: 12.99; 17.34; 18.98"
1785733684891,30,44.95,1.367GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 29.1/11.7/98.4; 28.9/6.7/98.4; 38.4/0.3/1232.5","TPS from last 1m; 5m; 15m: 12.99; 17.34; 18.98"
1785733691501,30,44.21,1.367GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 25.4/11.3/85.8; 27.6/11.3/94.9; 41.4/0.3/1232.5","TPS from last 1m; 5m; 15m: 12.99; 17.34; 18.98"
1785733697902,30,50.72,1.367GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 23.6/10.5/88.9; 21.8/9.3/88.9; 43.8/0.3/1232.5","TPS from last 1m; 5m; 15m: 12.98; 17.34; 18.98"
1785733704663,30,50.14,1.367GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 38.4/10.5/87.4; 36.5/10.5/94.1; 48.4/0.3/1232.5","TPS from last 1m; 5m; 15m: 12.98; 17.34; 18.98"
1785733711387,30,49.76,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 48.5/10.2/126.5; 44.2/10.2/126.5; 53.5/0.4/1232.5","TPS from last 1m; 5m; 15m: 12.97; 17.33; 18.97"
1785733718304,30,49.80,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 46.7/10.4/295.3; 47.0/10.1/295.3; 58.7/6.3/1232.5","TPS from last 1m; 5m; 15m: 12.94; 17.32; 18.97"
1785733724990,30,50.14,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 40.0/9.5/92.4; 42.0/9.5/295.3; 40.4/6.3/295.3","TPS from last 1m; 5m; 15m: 19.01; 17.34; 18.97"
1785733731885,30,50.31,1.367GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 56.2/11.9/188.2; 48.5/9.6/188.2; 38.0/6.3/295.3","TPS from last 1m; 5m; 15m: 20.0; 17.33; 18.97"
1785733738710,30,50.17,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 43.4/10.0/109.7; 50.9/10.0/188.2; 39.6/9.3/295.3","TPS from last 1m; 5m; 15m: 19.81; 17.31; 18.97"
1785733745575,30,50.88,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 49.2/10.2/98.7; 47.5/7.2/109.7; 41.7/7.2/295.3","TPS from last 1m; 5m; 15m: 20.0; 17.34; 18.98"
1785733752494,30,49.98,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 44.1/10.9/90.7; 48.5/10.2/109.5; 44.3/7.2/295.3","TPS from last 1m; 5m; 15m: 19.9; 17.33; 18.97"
1785733759205,30,47.59,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 27.1/11.2/98.2; 31.0/10.0/98.2; 44.1/7.2/295.3","TPS from last 1m; 5m; 15m: 20.0; 17.34; 18.98"
1785733765981,30,49.92,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 38.1/13.8/98.1; 33.3/11.2/98.1; 43.9/7.2/295.3","TPS from last 1m; 5m; 15m: 19.87; 17.32; 18.97"
